Links,subdir1,subdir2,subdir3,subdir4,subdir5,subdir6,subdir7,subdir8,subdir9,subdir10,subdir11
https://www.datacamp.com/api/image/year-in-data/landscape/courses-tracks-completed/courses/[coursesCount]/tracks/[tracksCount],api,image,year-in-data,landscape,courses-tracks-completed,courses,[coursesCount],tracks,[tracksCount],,
https://www.datacamp.com/api/image/year-in-data/landscape/xp-with-day-streak/[xp]/top/[top]/streak/[dayStreak],api,image,year-in-data,landscape,xp-with-day-streak,[xp],top,[top],streak,[dayStreak],
https://www.datacamp.com/api/image/year-in-data/landscape/latest-courses-tracks/concepts/[concepts]/courses/[hasCourses]/tracks/[hasTracks],api,image,year-in-data,landscape,latest-courses-tracks,concepts,[concepts],courses,[hasCourses],tracks,[hasTracks]
https://www.datacamp.com/email-verification,email-verification,,,,,,,,,,
https://www.datacamp.com/business/partners/institute-of-analytics-future-skills-training,business,partners,institute-of-analytics-future-skills-training,,,,,,,,
https://www.datacamp.com/certification/data-analyst,certification,data-analyst,,,,,,,,,
https://www.datacamp.com/certification/data-scientist,certification,data-scientist,,,,,,,,,
https://www.datacamp.com/radar-2023,radar-2023,,,,,,,,,,
https://www.datacamp.com/data-science-universities/mit,data-science-universities,mit,,,,,,,,,
https://www.datacamp.com/data-science-universities/stanford,data-science-universities,stanford,,,,,,,,,
https://www.datacamp.com/data-science-universities/harvard,data-science-universities,harvard,,,,,,,,,
https://www.datacamp.com/data-science-universities/columbia,data-science-universities,columbia,,,,,,,,,
https://www.datacamp.com/data-science-universities/open-university,data-science-universities,open-university,,,,,,,,,
https://www.datacamp.com/business/partners/test-111,business,partners,test-111,,,,,,,,
https://www.datacamp.com/live/data-visualization-python-beginners,live,data-visualization-python-beginners,,,,,,,,,
https://www.datacamp.com/terms-of-use-recruit-jobs,terms-of-use-recruit-jobs,,,,,,,,,,
https://www.datacamp.com/learn-data-science,learn-data-science,,,,,,,,,,
https://www.datacamp.com/mobile,mobile,,,,,,,,,,
