Links,subdir1,subdir2,subdir3
https://www.datacamp.com/workspace/templates/template-sql-working-with-text,workspace,templates,template-sql-working-with-text
https://www.datacamp.com/workspace/templates/recipe-python-correlation-plot,workspace,templates,recipe-python-correlation-plot
https://www.datacamp.com/workspace/templates/recipe-python-visualize-layer-cake-graph,workspace,templates,recipe-python-visualize-layer-cake-graph
https://www.datacamp.com/workspace/templates/template-python-visualize-likert-scale-survey-results,workspace,templates,template-python-visualize-likert-scale-survey-results
https://www.datacamp.com/workspace/templates/template-sql-window-functions,workspace,templates,template-sql-window-functions
https://www.datacamp.com/workspace/datasets/dataset-python-stock-exchange,workspace,datasets,dataset-python-stock-exchange
https://www.datacamp.com/workspace/templates/recipe-python-user-journey-sunburst,workspace,templates,recipe-python-user-journey-sunburst
https://www.datacamp.com/workspace/datasets/dataset-r-nba-shooting-data,workspace,datasets,dataset-r-nba-shooting-data
https://www.datacamp.com/workspace/datasets/sample-integration-mariadb,workspace,datasets,sample-integration-mariadb
https://www.datacamp.com/workspace/datasets/python-measles,workspace,datasets,python-measles
https://www.datacamp.com/workspace/templates/recipe-python-analyze-ab-test-results,workspace,templates,recipe-python-analyze-ab-test-results
https://www.datacamp.com/workspace/datasets/dataset-r-hotel-booking-demand,workspace,datasets,dataset-r-hotel-booking-demand
https://www.datacamp.com/workspace/datasets/dataset-r-bike-sharing-demand,workspace,datasets,dataset-r-bike-sharing-demand
https://www.datacamp.com/workspace/datasets/dataset-r-stock-exchange,workspace,datasets,dataset-r-stock-exchange
https://www.datacamp.com/workspace/datasets/dataset-r-world-population,workspace,datasets,dataset-r-world-population
https://www.datacamp.com/workspace/templates/recipe-r-amazon-s3-bucket-connection,workspace,templates,recipe-r-amazon-s3-bucket-connection
https://www.datacamp.com/workspace/templates/recipe-python-time-series-resampling,workspace,templates,recipe-python-time-series-resampling
https://www.datacamp.com/workspace/datasets/dataset-python-tech-stock-prices,workspace,datasets,dataset-python-tech-stock-prices
https://www.datacamp.com/workspace/templates/template-sql-categorical-variables,workspace,templates,template-sql-categorical-variables
https://www.datacamp.com/workspace/sign_up,workspace,sign_up,
https://www.datacamp.com/workspace/templates/template-python-resample-a-dataset,workspace,templates,template-python-resample-a-dataset
https://www.datacamp.com/workspace/templates/playbook-python-network-analysis,workspace,templates,playbook-python-network-analysis
https://www.datacamp.com/workspace/templates/recipe-python-explore-dataframe,workspace,templates,recipe-python-explore-dataframe
https://www.datacamp.com/workspace/templates/playbook-python-multiple-time-series,workspace,templates,playbook-python-multiple-time-series
https://www.datacamp.com/workspace/templates/template-python-churn-metrics,workspace,templates,template-python-churn-metrics
https://www.datacamp.com/workspace/templates/recipe-python-dropbox-connection,workspace,templates,recipe-python-dropbox-connection
https://www.datacamp.com/workspace/datasets/dataset-python-bike-sharing-demand,workspace,datasets,dataset-python-bike-sharing-demand
https://www.datacamp.com/workspace/datasets/dataset-python-news-articles,workspace,datasets,dataset-python-news-articles
https://www.datacamp.com/workspace/datasets/dataset-r-netflix-top-10,workspace,datasets,dataset-r-netflix-top-10
https://www.datacamp.com/workspace/discovery,workspace,discovery,
https://www.datacamp.com/workspace/datasets/dataset-r-telecom-customer-churn,workspace,datasets,dataset-r-telecom-customer-churn
https://www.datacamp.com/workspace/templates/recipe-python-evaluate-model-cv,workspace,templates,recipe-python-evaluate-model-cv
https://www.datacamp.com/workspace,workspace,,
https://www.datacamp.com/workspace/datasets/dataset-python-world-internet-access,workspace,datasets,dataset-python-world-internet-access
https://www.datacamp.com/workspace/datasets/dataset-r-world-internet-access,workspace,datasets,dataset-r-world-internet-access
https://www.datacamp.com/workspace/templates/recipe-python-k-means,workspace,templates,recipe-python-k-means
https://www.datacamp.com/workspace/datasets/dataset-python-unicorn-companies,workspace,datasets,dataset-python-unicorn-companies
https://www.datacamp.com/workspace/datasets/dataset-r-bank-marketing,workspace,datasets,dataset-r-bank-marketing
https://www.datacamp.com/workspace/datasets/sample-integration-postgresql,workspace,datasets,sample-integration-postgresql
https://www.datacamp.com/workspace/register,workspace,register,
https://www.datacamp.com/workspace/templates/recipe-python-merge-data,workspace,templates,recipe-python-merge-data
https://www.datacamp.com/workspace/templates/playbook-python-sentiment-analysis,workspace,templates,playbook-python-sentiment-analysis
