Links,subdir1,subdir2,subdir3,subdir4,subdir5,subdir6,subdir7,subdir8,subdir9,subdir10,subdir11
https://www.datacamp.com/courses/introduction-to-natural-language-processing-in-python,courses,introduction-to-natural-language-processing-in-python,,,,,,,,,
https://www.datacamp.com/courses/inference-for-linear-regression-in-r,courses,inference-for-linear-regression-in-r,,,,,,,,,
https://www.datacamp.com/courses/large-language-models-llms-concepts,courses,large-language-models-llms-concepts,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-azure,courses,introduction-to-azure,,,,,,,,,
https://www.datacamp.com/courses/data-storytelling-case-study-college-majors,courses,data-storytelling-case-study-college-majors,,,,,,,,,
https://www.datacamp.com/courses/intermediate-network-analysis-in-python,courses,intermediate-network-analysis-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-spark-with-sparklyr-in-r,courses,introduction-to-spark-with-sparklyr-in-r,,,,,,,,,
https://www.datacamp.com/courses/forecasting-in-r,courses,forecasting-in-r,,,,,,,,,
https://www.datacamp.com/courses/reshaping-data-with-pandas,courses,reshaping-data-with-pandas,,,,,,,,,
https://www.datacamp.com/courses/data-literacy-case-study-remote-working-analysis,courses,data-literacy-case-study-remote-working-analysis,,,,,,,,,
https://www.datacamp.com/courses/data-storytelling-case-study-green-businesses,courses,data-storytelling-case-study-green-businesses,,,,,,,,,
https://www.datacamp.com/courses/intermediate-r-for-finance,courses,intermediate-r-for-finance,,,,,,,,,
https://www.datacamp.com/courses/bayesian-data-analysis-in-python,courses,bayesian-data-analysis-in-python,,,,,,,,,
https://www.datacamp.com/courses/reshaping-data-with-tidyr,courses,reshaping-data-with-tidyr,,,,,,,,,
https://www.datacamp.com/courses/modeling-with-tidymodels-in-r,courses,modeling-with-tidymodels-in-r,,,,,,,,,
https://www.datacamp.com/courses/developing-python-packages,courses,developing-python-packages,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-r-for-finance,courses,introduction-to-r-for-finance,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-data-culture,courses,introduction-to-data-culture,,,,,,,,,
https://www.datacamp.com/courses/case-study-ecommerce-analysis-in-power-bi,courses,case-study-ecommerce-analysis-in-power-bi,,,,,,,,,
https://www.datacamp.com/courses/statistical-techniques-in-tableau,courses,statistical-techniques-in-tableau,,,,,,,,,
https://www.datacamp.com/courses/programming-with-dplyr,courses,programming-with-dplyr,,,,,,,,,
https://www.datacamp.com/courses/marketing-analytics-for-business,courses,marketing-analytics-for-business,,,,,,,,,
https://www.datacamp.com/courses/cleaning-data-in-postgresql-databases,courses,cleaning-data-in-postgresql-databases,,,,,,,,,
https://www.datacamp.com/courses/building-dashboards-with-dash-and-plotly,courses,building-dashboards-with-dash-and-plotly,,,,,,,,,
https://www.datacamp.com/courses/intermediate-regression-in-r,courses,intermediate-regression-in-r,,,,,,,,,
https://www.datacamp.com/courses/case-study-school-budgeting-with-machine-learning-in-python,courses,case-study-school-budgeting-with-machine-learning-in-python,,,,,,,,,
https://www.datacamp.com/courses/machine-learning-with-tree-based-models-in-r,courses,machine-learning-with-tree-based-models-in-r,,,,,,,,,
https://www.datacamp.com/courses/streaming-concepts,courses,streaming-concepts,,,,,,,,,
https://www.datacamp.com/courses/creating-dashboards-in-tableau,courses,creating-dashboards-in-tableau,,,,,,,,,
https://www.datacamp.com/courses/connecting-data-in-tableau,courses,connecting-data-in-tableau,,,,,,,,,
https://www.datacamp.com/courses/case-study-analyzing-customer-churn-in-excel,courses,case-study-analyzing-customer-churn-in-excel,,,,,,,,,
https://www.datacamp.com/courses/end-to-end-machine-learning,courses,end-to-end-machine-learning,,,,,,,,,
https://www.datacamp.com/courses/web-scraping-in-r,courses,web-scraping-in-r,,,,,,,,,
https://www.datacamp.com/courses/data-privacy-and-anonymization-in-python,courses,data-privacy-and-anonymization-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-chatgpt,courses,introduction-to-chatgpt,,,,,,,,,
https://www.datacamp.com/courses/foundations-of-probability-in-r,courses,foundations-of-probability-in-r,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-data-visualization-with-julia,courses,introduction-to-data-visualization-with-julia,,,,,,,,,
https://www.datacamp.com/courses/intermediate-importing-data-in-python,courses,intermediate-importing-data-in-python,,,,,,,,,
https://www.datacamp.com/courses/quantitative-risk-management-in-r,courses,quantitative-risk-management-in-r,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-data-visualization-with-plotly-in-python,courses,introduction-to-data-visualization-with-plotly-in-python,,,,,,,,,
https://www.datacamp.com/courses/life-insurance-products-valuation-in-r,courses,life-insurance-products-valuation-in-r,,,,,,,,,
https://www.datacamp.com/courses/streaming-data-with-aws-kinesis-and-lambda,courses,streaming-data-with-aws-kinesis-and-lambda,,,,,,,,,
https://www.datacamp.com/courses/cleaning-data-in-r,courses,cleaning-data-in-r,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-tableau,courses,introduction-to-tableau,,,,,,,,,
https://www.datacamp.com/courses/intermediate-sql-queries,courses,intermediate-sql-queries,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-writing-functions-in-r,courses,introduction-to-writing-functions-in-r,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-scala,courses,introduction-to-scala,,,,,,,,,
https://www.datacamp.com/courses/data-manipulation-with-dplyr,courses,data-manipulation-with-dplyr,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-power-bi,courses,introduction-to-power-bi,,,,,,,,,
https://www.datacamp.com/courses/feature-engineering-in-r,courses,feature-engineering-in-r,,,,,,,,,
https://www.datacamp.com/courses/intermediate-predictive-analytics-in-python,courses,intermediate-predictive-analytics-in-python,,,,,,,,,
https://www.datacamp.com/courses/defensive-r-programming,courses,defensive-r-programming,,,,,,,,,
https://www.datacamp.com/courses/garch-models-in-r,courses,garch-models-in-r,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-spreadsheets,courses,introduction-to-spreadsheets,,,,,,,,,
